"","lat_lon","gridID"
"6273","34.71222_-77.42944",67
"6274","34.5775_-77.36694",67
"6275","34.58389_-77.37611",67
"6276","34.71972_-77.39806",67
"6277","34.63667_-77.37528",67
"6278","34.6575_-77.35361",67
"6279","34.63056_-77.37361",67
"6280","34.66694_-77.35861",67
"6281","34.58722_-77.4325",67
"6282","34.73389_-77.42806",67
"6283","34.64611_-77.34278",67
"6284","34.60222_-77.38917",67
"6285","34.66944_-77.39694",67
"6286","34.62361_-77.35639",67
"6287","34.70611_-77.42889",67
"6288","34.60417_-77.38861",67
"6289","34.69028_-77.3725",67
"6290","34.61583_-77.38806",67
"6291","34.66611_-77.38472",67
"6292","34.58167_-77.37833",67
"6293","34.57833_-77.42361",67
"6294","34.70083_-77.41444",67
"6295","34.64694_-77.37333",67
"6296","34.60361_-77.37306",67
"6297","34.72778_-77.42972",67
"6298","34.62944_-77.3475",67
"6299","34.6075_-77.36611",67
"6300","34.65194_-77.34639",67
"6301","34.57361_-77.41694",67
"6302","34.64722_-77.37639",67
"6303","34.65861_-77.35583",67
"6304","34.58444_-77.43111",67
"6305","34.58361_-77.36917",67
"6306","34.70778_-77.39083",67
"6307","34.69306_-77.37194",67
"6308","34.67389_-77.37556",67
"6309","34.58889_-77.43333",67
"6310","34.57306_-77.41639",67
"6311","34.68083_-77.40194",67
"6312","34.58028_-77.38139",67
"6313","34.72083_-77.38194",67
"6314","34.62611_-77.35139",67
"6315","34.66667_-77.39111",67
"6316","34.57389_-77.35972",67
"6317","34.72556_-77.42111",67
"6318","34.70556_-77.42917",67
"6319","34.57472_-77.41694",67
"6320","34.68056_-77.36333",67
"6321","34.60111_-77.37917",67
"6322","34.68889_-77.40917",67
"6323","34.58389_-77.39528",67
"6324","34.67417_-77.39944",67
"6325","34.61083_-77.40472",67
"6326","34.69611_-77.40972",67
"6327","34.58389_-77.39444",67
"6328","34.72833_-77.42528",67
"6329","34.63639_-77.37611",67
"6330","34.65472_-77.38083",67
"6332","34.66528_-77.38361",67
"6333","34.7075_-77.39",67
"6334","34.61861_-77.43083",67
"6335","34.67917_-77.39889",67
"6336","34.57944_-77.42417",67
"6337","34.60111_-77.39389",67
"6338","34.73639_-77.42778",67
"6339","34.72083_-77.38167",67
"6340","34.60083_-77.37806",67
"6341","34.70611_-77.38278",67
"6342","34.58472_-77.43083",67
"6343","34.71083_-77.42861",67
"6344","34.58694_-77.40361",67
"6345","34.69472_-77.37361",67
"6346","34.58861_-77.43361",67
"6347","34.69167_-77.42167",67
"6348","34.58028_-77.38167",67
"6349","34.73611_-77.42694",67
"6350","34.58444_-77.42972",67
"6351","34.72611_-77.40556",67
"6352","34.6375_-77.33889",67
"6353","34.68361_-77.40889",67
"6354","34.575_-77.40222",67
"6355","34.72139_-77.41639",67
"6356","34.63083_-77.34694",67
"6357","34.61139_-77.36444",67
"6358","34.67944_-77.36",67
"6359","34.70111_-77.42722",67
"6360","34.63167_-77.37444",67
"6361","34.5825_-77.37861",67
"6362","34.67944_-77.37194",67
"6363","34.68944_-77.40972",67
"6364","34.63028_-77.34722",67
"6365","34.71139_-77.42889",67
"6366","34.66556_-77.38472",67
"6367","34.5725_-77.36083",67
"6368","34.63639_-77.37444",67
"6369","34.66639_-77.35917",67
"6370","34.6775_-77.39861",67
"6371","34.61417_-77.3625",67
"6372","34.60194_-77.385",67
"6373","34.57333_-77.35944",67
"6374","34.72889_-77.36444",67
"6375","34.63083_-77.3475",67
"6376","34.72472_-77.41972",67
"6377","34.61_-77.40361",67
"6378","34.60972_-77.39583",67
"6379","34.69083_-77.42306",67
"6380","34.58389_-77.3825",67
"6381","34.72806_-77.38861",67
"6382","34.66833_-77.40944",67
"6383","34.58333_-77.36917",67
"6384","34.65139_-77.34667",67
"6385","34.58167_-77.37889",67
"6386","34.6625_-77.38139",67
"6388","34.58694_-77.40583",67
"6389","34.72528_-77.42083",67
"6390","34.6675_-77.39472",67
"6391","34.59722_-77.43639",67
"6392","34.70139_-77.41222",67
"6393","34.59778_-77.43583",67
"6394","34.69361_-77.37278",67
"6395","34.56889_-77.36056",67
"6396","34.61778_-77.42778",67
"6397","34.66694_-77.39083",67
"6398","34.57639_-77.41972",67
"6399","34.65583_-77.38028",67
"6400","34.58111_-77.40333",67
"6401","34.6725_-77.36917",67
"6402","34.5975_-77.43583",67
"6403","34.71944_-77.40972",67
"6404","34.65_-77.34444",67
"6405","34.71278_-77.39694",67
"6406","34.58389_-77.39333",67
"6407","34.63083_-77.36944",67
"6408","34.68139_-77.40306",67
"6409","34.57222_-77.34778",67
"6410","34.72944_-77.35444",67
"6411","34.60889_-77.36583",67
"6412","34.70694_-77.38528",67
